ALL PRODUCTS,283085.78,Seine (Paris),Nord,Seine Saint Denis,Essonne,Hauts de Seine
"  All Bikes",266789.43,Seine (Paris),Nord,Seine Saint Denis,Essonne,Hauts de Seine
"    Top 5 Bikes",91066.49,Seine (Paris),Nord,Hauts de Seine,Seine Saint Denis,Moselle
"      Mountain-200 Black, 38",20654.91,Seine (Paris),Seine Saint Denis,Hauts de Seine,Nord,NULL
"      Road-250 Black, 52",19546.80,Seine (Paris),Seine et Marne,Seine Saint Denis,Val d'Oise,Garonne (Haute)
"      Mountain-200 Silver, 42",18559.92,Nord,Seine (Paris),Seine Saint Denis,Essonne,Hauts de Seine
"      Mountain-200 Silver, 38",16239.93,Charente-Maritime,Hauts de Seine,Moselle,Nord,Seine (Paris)
"      Mountain-200 Black, 46",16064.93,Nord,Seine (Paris),Hauts de Seine,Loir et Cher,Loiret
"  All Accessories",10663.79,Seine (Paris),Seine Saint Denis,Nord,Yveline,Hauts de Seine
"    Top 5 Accessories",4918.62,Seine (Paris),Nord,Seine Saint Denis,Hauts de Seine,Essonne
"      Sport-100 Helmet, Red",1259.64,Seine (Paris),Essonne,Nord,Yveline,Hauts de Seine
"      Sport-100 Helmet, Black",1224.65,Seine (Paris),Seine et Marne,Seine Saint Denis,Essonne,Nord
"      Sport-100 Helmet, Blue",1049.70,Seine (Paris),Nord,Yveline,Seine Saint Denis,Hauts de Seine
"      Touring Tire",724.75,Nord,Seine Saint Denis,Seine (Paris),Essonne,Val d'Oise
"      Hydration Pack - 70 oz.",659.88,Hauts de Seine,Seine (Paris),Seine Saint Denis,Yveline,Nord
"  All Clothing",5632.56,Nord,Seine (Paris),Seine Saint Denis,Essonne,Yveline
"    Top 5 Clothing",2713.51,Nord,Seine (Paris),Seine Saint Denis,Yveline,Loiret
"      Short-Sleeve Classic Jersey, M",755.86,Seine (Paris),Seine Saint Denis,Essonne,Loiret,Nord
"      Women's Mountain Shorts, M",629.91,Yveline,Loiret,Nord,Pas de Calais,Seine (Paris)
"      Long-Sleeve Logo Jersey, S",499.90,Seine Saint Denis,Seine (Paris),Nord,Moselle,NULL
"      Long-Sleeve Logo Jersey, XL",449.91,Nord,Yveline,Seine et Marne,Seine Saint Denis,Essonne
"      Short-Sleeve Classic Jersey, S",377.93,Nord,Seine (Paris),Essonne,Hauts de Seine,NULL
